Job Title,Job Description,link,price
Web Site Creation,"I need a someone to create a website for me. I have a detailed design written down, I just need someone to create it for me",https://www.peopleperhour.com/freelance-jobs/technology-programming/website-development/web-site-creation-4390190,$229
full-stack web developer,"I’m looking for a skilled full-stack web developer who can build a complete website from scratch – both frontend and backend.I already have most of the design prepared in Canva, which I can share with you. It might not be directly usable for coding, but it provides a clear visual direction. **Core Requirements:** * Fully custom-built website (no templates, no WordPress). * Responsive design that works perfectly on desktop, tablet, and mobile. * Clean, modern, and fast-loading frontend. * Admin panel with full control over users and content. * User registration and login (via email and/or phone). * Paid posting system with credit or wallet functionality. * Listing system with filters (by location, category, etc.). * Contact options via direct message or contact form. * Strong focus on security and privacy. * SEO-friendly structure. * Multilingual support (starting with one language, but should be expandable). **Preferred Tech Stack (flexible):** * Frontend: HTML, CSS, JavaScript (or modern frameworks like React/Vue) * Backend: Node.js / PHP / Python / Laravel (or other full-stack solution) * Database: MySQL / PostgreSQL / MongoDB * Payment gateway integration (e.g., Stripe, crypto, or API-ready solution) If you're using a framework or CMS, please explain how it still allows full customization. **I Will Provide:** * Design mockups from Canva. * Reference websites with similar functionality and structure. * A clear feature list and flowchart. **You Must Have:** * Proven experience with full-stack development (portfolio required). * Strong communication skills. * Ability to deliver high-quality code on time. * Experience building classified/listing platforms is a big plus. * You must be comfortable building everything from scratch – not just frontend. ➕ **Bonus If You Can Also:** * Help with basic SEO structure. * Suggest hosting and deployment setup. * Handle testing and debugging across devices.",https://www.peopleperhour.com/freelance-jobs/technology-programming/website-development/full-stack-web-developer-4390143,$229
B2C Data Scraping Specialist for Queens,"I'm seeking a skilled data scraper to gather B2C phone numbers from specific ZIP codes in Queens, New York. The target demographic is aged 23–55 years. The final dataset should include: - Phone number - Name - Email (if available) - Age/DOB - Address (if possible) The data should be delivered in CSV format. Ideal Skills and Experience: - Expertise in scraping public records - Familiarity with age filtering in data scraping - Ability to provide a substantial number of leads per ZIP code - Efficient turnaround time - Previous samples of similar work Please include details on your data sources, age filtering capabilities, expected leads per ZIP code, turnaround time, and if you can provide a sample with your bids.",https://www.peopleperhour.com/freelance-jobs/technology-programming/databases/b2c-data-scraping-specialist-for-queens-4387774,$229
Google Sheet Dashboard Creation,I am looking for someone to build a dashboard on Google Sheets that is capable of integrating with and data scraping from Companies House and HMRC's website I have attached a brief of the project so would welcome answers and proof of workings around that and suggestions for implementation,https://www.peopleperhour.com/freelance-jobs/technology-programming/programming-coding/google-sheet-dashboard-creation-4388540,$229
I need Web Designer and UX/UI Designer,"The project description is as follows: We are looking for a talented Web Designer and UX/UI Designer to join our team and create visually stunning and user-friendly web experiences. As a Web Designer, you will be responsible for designing and developing websites that are visually appealing, easy to navigate, and optimized for various devices and browsers. You will work closely with our clients to understand their requirements and translate them into visually appealing and functional designs. As a UX/UI Designer, you will be responsible for designing and improving the user experience of our websites. You will conduct user research, analyze user behavior, and create wireframes, prototypes, and user interfaces that are intuitive and user-friendly. You will also work closely with our development team to ensure that the designs are implemented effectively. Requirements: - Strong portfolio of web design and UX/UI design projects - Proficiency in HTML, CSS, JavaScript, and other web development technologies - Excellent design skills and attention to detail - Ability to work collaboratively in a team environment - Strong communication and problem-solving skills - Experience with user research and analysis - Familiarity with design tools such as Adobe Photoshop, Illustrator, and Sketch - Ability to work under tight deadlines If you are a passionate Web Designer and UX/UI Designer with a strong portfolio and a passion for creating visually stunning and user-friendly web experiences, we would love to hear from you. Please submit your resume and portfolio for consideration.",https://www.peopleperhour.com/freelance-jobs/design/web-design/i-need-web-designer-and-ux-ui-designer-4392319,$229
UI/UX Web Designer for Startup & Branding Projects,"We are looking for a talented web designer (UI/UX) to support us on website projects on a fixed-price, per-project basis. You’ll be responsible for designing clean, modern, and user-friendly websites in Figma or a software of your choice. Our projects are typically for startups, digital-first businesses or improving existing corporate brands with a strong emphasis on clarity, uniqueness and conversion. We value thoughtful layouts, good hierarchy, and attention to responsive structure. You’ll work closely with our creative team and hand off designs that are ready for development or tools like Webflow. What we’re looking for: - Strong skills in UI/UX web design using Figma - At least 2 years of experience in digital/web design - Clean, conversion-friendly and aesthetic design style - Familiar with best practices for mobile/responsive design - Reliable and independent way of working - Good communication and availability - Experience creating structured handovers (Figma components, naming, grids, etc.) This is not a one-off hire. We’re looking to build an ongoing relationship with a great freelance designer, but all work will be done on a per-project, fixed-price basis. If you’re interested, please apply with: - A short intro about you - Your portfolio or examples of web design work - Your design approach or tools you use - Your general availability Looking forward to collaborating with you! – Simon",https://www.peopleperhour.com/freelance-jobs/design/web-design/ui-ux-web-designer-for-startup-branding-projects-4394729,$229
Looking for candidates who knows some basic web skills,"Hi, everyone. I am looking for someone who helps us regarding our business related to the software development. We need to have our communications with English so candidates must be fluent in English verbal and writing. And they need to know about some web basic skills such as react, python and so on. If you don't satisfied with these conditions, don't apply. I am looking for someone whose hourly rate is 20-30$ also. Hope I find the best one asap. Thanks.",https://www.peopleperhour.com/freelance-jobs/technology-programming/website-development/looking-for-candidates-who-knows-some-basic-web-skills-4388797,$229
Entry-Level Web Developer Needed for Startup Project,"I’m launching an early-stage startup and looking for a reliable, entry-level web developer to assist in building a clean, responsive website. This is a great opportunity for someone looking to gain real-world experience, work on a live project, and potentially grow with the company long-term. You’ll work directly with me on tasks such as: Creating and styling web pages Implementing responsive design Basic CMS setup (WordPress or Webflow) Fixing bugs or optimizing layout Workload will be flexible and based on clear milestones. You don’t need to be an expert — just motivated, willing to learn, and committed to delivering clean work.",https://www.peopleperhour.com/freelance-jobs/technology-programming/website-development/entry-level-web-developer-needed-for-startup-project-4393884,$229
Senior Full-Stack Developer for Ongoing Web Project,"We are looking for a highly skilled and experienced Senior Developer to join our project and help take it to the next level. You will work closely with our team to build, improve, and maintain a web-based platform with advanced functionality and a strong emphasis on performance, scalability, and clean code architecture. We’re building a powerful and user-friendly [insert project type – e.g., SaaS platform, fintech app, crypto dashboard, etc.], and we need a reliable senior developer who can jump in, understand the existing architecture, and contribute to both backend and frontend development. Project Details:",https://www.peopleperhour.com/freelance-jobs/technology-programming/website-development/senior-full-stack-developer-for-ongoing-web-project-4392177,$229
Dorset / Hampshire ONLY Based Web Developer - Onsite + Remote,"We are looking for a Dorset / Hampshire ONLY based web developer for ongoing development and maintenance work We are a UK based eCommerce seller selling on various marketplaces in the UK We have our own backend internal systems to process and manage daily orders, stock and advertising We are looking for a local developer for 1 day a week guaranteed onsite work (days to be discussed to suit) and ongoing off site remote works. You will work on various projects and maintenance of our backend and various systems Looking for developers with the following skills and experience PHP SQL HTML CSS API Experience Any developers must be Dorset / Hampshire based so they are able to visit us onsite once per week. For offsite works we will be able to communicate via phone calls and online messaging (Internal Slack channel) Please let us know your hourly rate when contacting us",https://www.peopleperhour.com/freelance-jobs/technology-programming/programming-coding/dorset-hampshire-only-based-web-developer-onsite-remot-4393220,$229
